price,soc,soc_mwh,grid_import_mwh,grid_export_mwh,charge_mwh,discharge_mwh,objective,revenue,cumulative_revenue,generation_mw,charge_btm_mwh,charge_grid_mwh,charge_surplus_mwh,generation_mwh,generation_revenue_uncurtailed,generation_curtailed_mwh,generation_revenue_curtailed,pv_net_export_mwh,total_export_mwh
50.64,0.11977126637887736,0.23954253275775472,0.0,0.0,0.01660195771588399,0.0,-0.8620500000000001,-0.8620500000000001,435.0700224300876,0.0175,0.0175,0.0,0.0,0.0175,0.8620500000000001,0.0175,0.8620500000000001,0.0,0.0
49.91,0.11977126637887736,0.23954253275775472,0.0,0.0,-0.0,0.0,0.0,0.0,435.0700224300876,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.39,0.11977126637887736,0.23954253275775472,-0.0,0.0,0.0,0.0,0.0,0.0,435.0700224300876,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.83,0.11977126637887736,0.23954253275775472,0.0,0.0,-0.0,0.0,0.0,0.0,435.0700224300876,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.65,0.11977126637887736,0.23954253275775472,0.0,0.0,-0.0,0.0,0.0,0.0,435.0700224300876,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.85,0.11977126637887736,0.23954253275775472,0.0,0.0,-0.0,0.0,0.0,0.0,435.0700224300876,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.72,0.11977126637887736,0.23954253275775472,0.0,0.0,-0.0,0.0,0.0,0.0,435.0700224300876,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.68,0.11977126637887736,0.23954253275775472,0.0,0.0,-0.0,0.0,0.0,0.0,435.0700224300876,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.14,0.11977126637887736,0.23954253275775472,0.0,0.0,-0.0,0.0,0.0,0.0,435.0700224300876,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.52,0.11977126637887736,0.23954253275775472,0.0,0.0,-0.0,0.0,0.0,0.0,435.0700224300876,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.26,0.11977126637887736,0.23954253275775472,0.0,0.0,-0.0,0.0,0.0,0.0,435.0700224300876,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.35,0.11977126637887736,0.23954253275775472,0.0,0.0,-0.0,0.0,0.0,0.0,435.0700224300876,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.2,0.11977126637887736,0.23954253275775472,0.0,0.0,-0.0,0.0,0.0,0.0,435.0700224300876,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
